local_uri,tmdb_id,imdb_id,title,release_date,wikidata_uri,wikidata_label,wikidata_release_date,dbpedia_uri,search_method,matched_by,score,status
https://example.org/movie/1315772,1315772,tt32890033,Minions & Monsters,06-24-26,http://www.wikidata.org/entity/Q127605787,Minions & Monsters,06-24-26,http://dbpedia.org/resource/Minions_%26_Monsters,identifier,tmdb_id+imdb_id+release_year,1.00,approved
https://example.org/movie/1318467,1318467,tt33253206,The Last Kiss,09-15-26,http://www.wikidata.org/entity/Q141430687,The Last Kiss,09-15-26,http://dbpedia.org/resource/The_Last_Kiss_(2026_film),identifier,tmdb_id+imdb_id+release_year,1.00,approved
https://example.org/movie/1327819,1327819,tt26443616,Hoppers,03-04-26,http://www.wikidata.org/entity/Q128798957,Hoppers,02-28-26,http://dbpedia.org/resource/Hoppers_(film),identifier,tmdb_id+imdb_id+release_year,1.00,approved
https://example.org/movie/1339713,1339713,tt37287335,Obsession,05-13-26,http://www.wikidata.org/entity/Q136163067,Obsession,05-13-26,http://dbpedia.org/resource/Obsession_(2025_film),identifier,tmdb_id+imdb_id+release_year,1.00,approved
https://example.org/movie/1368337,1368337,tt33764258,The Odyssey,07-15-26,http://www.wikidata.org/entity/Q131547207,The Odyssey,07-06-26,http://dbpedia.org/resource/The_Odyssey_(2026_film),identifier,tmdb_id+imdb_id+release_year,1.00,approved
https://example.org/movie/1375646,1375646,tt34385135,Colony,05-21-26,http://www.wikidata.org/entity/Q134285034,Colony,05-15-26,http://dbpedia.org/resource/Colony_(2026_film),identifier,tmdb_id+imdb_id+release_year,1.00,approved
https://example.org/movie/1377237,1377237,tt31349844,Runner,09-07-26,http://www.wikidata.org/entity/Q133809675,Runner,09-10-26,http://dbpedia.org/resource/Runner_(2026_American_film),identifier,tmdb_id+imdb_id+release_year,1.00,approved
https://example.org/movie/1386238,1386238,tt21220878,Black Gold,12-06-24,http://www.wikidata.org/entity/Q130466107,Black Gold,01-01-24,,title+release_year,title+release_year,0.90,review
https://example.org/movie/1386315,1386315,tt34564059,The Runner,09-03-26,http://www.wikidata.org/entity/Q134107888,The Runner,09-02-26,http://dbpedia.org/resource/The_Runner_(2026_film),identifier,tmdb_id+imdb_id+release_year,1.00,approved
https://example.org/movie/1393326,1393326,tt9000310,Ghost in the Cell,04-16-26,http://www.wikidata.org/entity/Q135472680,Ghost in the Cell,01-01-26,http://dbpedia.org/resource/Ghost_in_the_Cell,identifier,tmdb_id+imdb_id+release_year,1.00,approved
https://example.org/movie/1408162,1408162,tt35836025,Vishwanath & Sons,08-14-26,http://www.wikidata.org/entity/Q135094933,Vishwanath & Sons,08-14-26,http://dbpedia.org/resource/Vishwanath_%26_Sons,identifier,tmdb_id+imdb_id+release_year,1.00,approved
https://example.org/movie/1419406,1419406,tt34610311,The Shadow's Edge,08-16-25,http://www.wikidata.org/entity/Q135919148,The Shadow's Edge,08-08-25,http://dbpedia.org/resource/The_Shadow's_Edge,identifier,tmdb_id+imdb_id+release_year,1.00,approved
https://example.org/movie/1423191,1423191,tt35538033,Resident Evil,09-16-26,http://www.wikidata.org/entity/Q136565785,Resident Evil,09-15-26,http://dbpedia.org/resource/Resident_Evil_(2026_film),identifier,tmdb_id+imdb_id+release_year,1.00,approved
https://example.org/movie/1440098,1440098,tt36073210,Drawn Together,09-09-26,http://www.wikidata.org/entity/Q140958739,Drawn Together,09-09-26,http://dbpedia.org/resource/Drawn_Together_(film),identifier,tmdb_id+imdb_id+release_year,1.00,approved
https://example.org/movie/1506560,1506560,tt37752275,Clash of the Thundermans,09-03-26,http://www.wikidata.org/entity/Q140670111,Clash of the Thundermans,01-01-26,,title+release_year,title+release_year,0.90,review
https://example.org/movie/1514682,1514682,tt37603783,Above & Below,07-29-26,http://www.wikidata.org/entity/Q140484495,Above & Below,07-29-26,http://dbpedia.org/resource/Above_%26_Below,identifier,tmdb_id+imdb_id+release_year,1.00,approved
https://example.org/movie/1514863,1514863,tt16478058,Best of the Best,09-18-26,http://www.wikidata.org/entity/Q141520590,Best of the Best,09-18-26,http://dbpedia.org/resource/Best_of_the_Best_(2026_film),identifier,tmdb_id+imdb_id+release_year,1.00,approved
https://example.org/movie/1516698,1516698,tt37654096,The Last Sunrise,08-26-26,http://www.wikidata.org/entity/Q136807764,The Last Sunrise,08-26-26,http://dbpedia.org/resource/The_Last_Sunrise,identifier,tmdb_id+imdb_id+release_year,1.00,approved
https://example.org/movie/155,155,tt0468569,The Dark Knight,07-16-08,http://www.wikidata.org/entity/Q163872,The Dark Knight,07-18-08,http://dbpedia.org/resource/The_Dark_Knight,identifier,tmdb_id+imdb_id+release_year,1.00,approved
https://example.org/movie/1560520,1560520,tt32333324,Batman: Knightfall Part 1: Knightfall,06-23-26,http://www.wikidata.org/entity/Q141503933,Batman: Knightfall Part 1: Knightfall,08-25-26,,identifier,tmdb_id+imdb_id+release_year,1.00,review
